title,price(tk),special_price(tk),emi,reviews,product_id,ram,storage,generation,graphics_memory,processor_type,display_size(inch)
Lenovo IdeaPad Slim 3i 14IGL Intel CDC N4020 256GB SSD 14 Inch FHD Display Platinum Grey Laptop #81WH00A0IN-3Y,"39,390","36,500","Monthly EMI Tk 3,283", 2 reviews ,33.01.200.1002,4GB,256GB SSD,Not Applicable,Shared,Intel Celeron,14
Lenovo V14 Intel Core i3 1115G4 14 Inch FHD TN Display Black Laptop #82KA00E6IN,"53,710","49,900","Monthly EMI Tk 4,476", 3 reviews ,33.01.200.972,4GB,1TB HDD,11th (Intel),Shared,Core i3,14
Lenovo IdeaPad Slim 3i 15IIL Intel Core i3 1005G1 4GB Ram 15.6 Inch FHD Display Platinum Grey Laptop #81WE01P2IN-3Y,"51,000","47,500","Monthly EMI Tk 4,250", 1 reviews ,33.01.200.1001,4GB,256GB SSD,10th (Intel),Shared,Core i3,15.6
Lenovo V14 Intel Core i3 1115G4 14 Inch HD TN Display Iron Grey Laptop #82KA00LFIN,"52,620","48,900","Monthly EMI Tk 4,385", 1 reviews ,33.01.200.949,4GB,1TB HDD,11th (Intel),Shared,Core i3,14
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 15.6 Inch FHD Display Platinum Grey Laptop #81WQ00MKIN-3Y,"39,390","36,500","Monthly EMI Tk 3,283", 1 reviews ,33.01.200.1003,4GB,256GB SSD,Not Applicable,Shared,Intel Celeron,15.6
Dell Inspiron 15 3515 AMD Ryzen 3 3250U 15.6 Inch FHD Display Silver Laptop,"56,960","52,500","Monthly EMI Tk 4,747", 1 reviews ,33.01.013.1616,8GB,256GB SSD,Not Applicable,Shared,Ryzen 3,15.6
Lenovo V14 11th Gen Intel Core i3 1115G4 14 Inch HD TN Display Iron Grey Laptop #82KA00LFIN-3Y,"58,590","54,400","Monthly EMI Tk 4,883", 1 reviews ,33.01.200.1007,8GB,1TB HDD+256GB SSD,11th (Intel),Shared,Core i3,14
Dell Inspiron 15 3511 Intel Core i3 1115G4 4GB RAM 15.6 Inch FHD Display Platinum Silver Laptop #WARLOCKN315TGL2205401-2Y,"55,880","52,000","Monthly EMI Tk 4,657", 1 reviews ,33.01.013.1529,4GB,256GB SSD,11th (Intel),Shared,Core i3,15.6
Dell Inspiron 15 3511 Intel Core i3 1115G4 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop,"62,390","57,900","Monthly EMI Tk 5,199",,33.01.013.1635,8GB,256GB SSD,11th (Intel),Shared,Core i3,15.6
Dell Inspiron 15 3511 Intel Core i5 1135G7 15.6 Inch FHD Display Platinum Silver Laptop #WARLOCKN315TGL2205115B-2Y,"79,210","74,000","Monthly EMI Tk 6,601", 1 reviews ,33.01.013.1534,4GB,1TB HDD,11th (Intel),2GB,Core i5,15.6
